순위, 제목, 저자, 가격
1, 트렌드 코리아 2023, 김난도 외, 17100원
2, 사랑은 그렇게 하는 것이 아니다, 김달, 14850원
3, 엄마의 말하기 연습(20만부 기념 스페셜 에디션), 박재연, 13320원
4, 반짝이는 하루ͺ 그게 오늘이야, 레슬리 마샹 외, 15120원
5, 하얼빈, 김훈, 14400원
6, 세상에서 가장 쉬운 본질육아, 지나영, 16920원
7, 아버지의 해방일지, 정지아, 13500원
8, 불편한 편의점 2, 김호연, 12600원
9, 2022 하반기 에듀윌 취업 온라인 SKCT SK그룹 종합역량검사 통합 기본서, 에듀윌 취업연구소, 20700원
10, 역행자, 자청, 15750원
11, 잘될 수밖에 없는 너에게, 최서영, 14400원
12, 바자(BAZAAR)(2022년 11월호), 허스트중앙 편집부, 12260원
13, 바자(BAZAAR)(2022년 11월호)(B형), 허스트중앙 편집부, 12260원
14, 나는 나를 바꾸기로 했다, 우즈훙 외, 14220원
15, 불편한 편의점(40만부 기념 벚꽃 에디션), 김호연, 12600원
16, 부의 치트키, 김성공, 15300원
17, 2022 하반기 해커스 GSAT 삼성직무적성검사 실전모의고사 8회분(수리논리/추리), 해커스 취업교육연구소, 16110원
18, 올리버쌤의 미국식 아이 영어 습관 365, 올리버 그랜트 외, 20700원
19, 마흔에 읽는 니체, 장재형, 14400원
20, 바자(BAZAAR)(2022년 11월호)(C형), 허스트중앙 편집부, 12260원
21, 작은 땅의 야수들, 김주혜 외, 16200원
22, 단순한 열정, 아니 에르노 외, 9000원
23, 심리학이 분노에 답하다, 충페이충 외, 16020원
24, 파친코 2, 이민진 외, 14220원
25, 파친코 1, 이민진 외, 14220원
26, 원씽(The One Thing)(리커버 특별판), 게리 켈러 외, 12600원
27, 이 책은 돈 버는 법에 관한 이야기, 고명환, 15120원
28, 그릿(100쇄 기념 리커버 에디션), 앤절라 더크워스 외, 14400원
29, 부자 아빠 가난한 아빠 1(20주년 특별 기념판), 로버트 기요사키 외, 14220원
30, 생각이 많아 우울한 걸까ͺ 우울해서 생각이 많은 걸까?, 피아 칼리슨 외, 13500원
