,datetime,가계예금총금액,주택매매가격지수,취업자수,가계대출금리,주택전세가격지수
0,2000-01-01,194322.4,38.995,20792.0,10.14,37.418
1,2000-02-01,205468.8,39.161,20844.0,10.04,38.501
2,2000-03-01,208458.2,39.327,20954.0,10.05,39.368
3,2000-04-01,212110.6,39.368,20990.0,9.96,39.874
4,2000-05-01,215776.1,39.327,21118.0,9.96,39.91
5,2000-06-01,221333.7,39.203,21171.0,9.87,39.838
6,2000-07-01,219994.5,39.203,21315.0,9.92,39.91
7,2000-08-01,223967.2,39.285,21376.0,9.77,40.488
8,2000-09-01,230937.2,39.368,21358.0,9.76,41.246
9,2000-10-01,235781.9,39.41,21447.0,9.84,41.68
10,2000-11-01,237635.6,39.285,21376.0,9.71,41.535
11,2000-12-01,241869.7,39.037,21308.0,9.48,41.066
12,2001-01-01,242125.2,38.995,21105.0,9.21,41.102
13,2001-02-01,242747.3,39.12,21087.0,9.13,42.077
14,2001-03-01,243281.1,39.368,21216.0,8.84,43.088
15,2001-04-01,248638.4,39.617,21571.0,8.7,43.63
16,2001-05-01,248943.3,39.907,21658.0,8.54,44.064
17,2001-06-01,252469.9,40.239,21668.0,8.57,44.461
18,2001-07-01,256060.1,40.736,21707.0,8.39,45.147
19,2001-08-01,256488.7,41.523,21782.0,8.0,46.267
20,2001-09-01,263322.1,42.186,21841.0,7.55,47.314
21,2001-10-01,262516.3,42.393,21853.0,7.35,47.675
22,2001-11-01,266478.9,42.559,21919.0,7.17,47.675
23,2001-12-01,271097.2,42.891,21923.0,6.93,47.82
24,2002-01-01,270174.9,44.01,21988.0,6.85,48.831
25,2002-02-01,279022.8,45.129,22107.0,6.65,50.204
26,2002-03-01,278625.3,46.165,22089.0,6.69,51.323
27,2002-04-01,282125.6,46.62,22237.0,6.86,51.973
28,2002-05-01,282175.8,46.91,22201.0,6.99,52.154
29,2002-06-01,284037.2,47.118,22257.0,6.98,52.154
30,2002-07-01,283798.0,47.574,22280.0,6.98,52.334
31,2002-08-01,288606.6,48.402,22288.0,6.89,52.876
32,2002-09-01,293824.4,49.563,22365.0,6.82,53.526
33,2002-10-01,293058.1,49.811,22326.0,7.05,53.454
34,2002-11-01,298157.6,49.853,22262.0,7.13,52.948
35,2002-12-01,302176.0,49.936,22371.0,7.12,52.66
36,2003-01-01,302811.0,49.894,22236.0,7.06,52.623
37,2003-02-01,306094.1,50.143,22211.0,6.9,53.021
38,2003-03-01,306869.3,50.516,22173.0,6.96,53.418
39,2003-04-01,310510.6,50.972,22113.0,6.84,53.454
40,2003-05-01,308575.4,51.8,22135.0,6.64,53.346
41,2003-06-01,310493.1,52.173,22146.0,6.47,53.021
42,2003-07-01,308302.6,52.289,22223.0,6.41,52.737
