,datetime,annualrate
0,2000-01-01,10.14
1,2000-02-01,10.04
2,2000-03-01,10.05
3,2000-04-01,9.96
4,2000-05-01,9.96
5,2000-06-01,9.87
6,2000-07-01,9.92
7,2000-08-01,9.77
8,2000-09-01,9.76
9,2000-10-01,9.84
10,2000-11-01,9.71
11,2000-12-01,9.48
12,2001-01-01,9.21
13,2001-02-01,9.13
14,2001-03-01,8.84
15,2001-04-01,8.7
16,2001-05-01,8.54
17,2001-06-01,8.57
18,2001-07-01,8.39
19,2001-08-01,8.0
20,2001-09-01,7.55
21,2001-10-01,7.35
22,2001-11-01,7.17
23,2001-12-01,6.93
24,2002-01-01,6.85
25,2002-02-01,6.65
26,2002-03-01,6.69
27,2002-04-01,6.86
28,2002-05-01,6.99
29,2002-06-01,6.98
30,2002-07-01,6.98
31,2002-08-01,6.89
32,2002-09-01,6.82
33,2002-10-01,7.05
34,2002-11-01,7.13
35,2002-12-01,7.12
36,2003-01-01,7.06
37,2003-02-01,6.9
38,2003-03-01,6.96
39,2003-04-01,6.84
40,2003-05-01,6.64
41,2003-06-01,6.47
42,2003-07-01,6.41
43,2003-08-01,6.15
44,2003-09-01,6.04
45,2003-10-01,6.01
46,2003-11-01,6.21
47,2003-12-01,6.31
48,2004-01-01,6.34
49,2004-02-01,6.08
50,2004-03-01,6.11
51,2004-04-01,6.07
52,2004-05-01,6.02
53,2004-06-01,6.0
54,2004-07-01,5.92
55,2004-08-01,5.69
56,2004-09-01,5.66
57,2004-10-01,5.62
58,2004-11-01,5.57
59,2004-12-01,5.48
60,2005-01-01,5.51
61,2005-02-01,5.52
62,2005-03-01,5.6
63,2005-04-01,5.43
64,2005-05-01,5.34
65,2005-06-01,5.28
66,2005-07-01,5.34
67,2005-08-01,5.38
68,2005-09-01,5.5
69,2005-10-01,5.7
70,2005-11-01,5.64
71,2005-12-01,5.63
72,2006-01-01,5.69
73,2006-02-01,5.71
74,2006-03-01,5.68
75,2006-04-01,5.62
76,2006-05-01,5.64
77,2006-06-01,5.72
78,2006-07-01,5.95
79,2006-08-01,6.03
80,2006-09-01,5.9
81,2006-10-01,5.84
82,2006-11-01,5.82
83,2006-12-01,5.97
84,2007-01-01,6.2
85,2007-02-01,6.25
86,2007-03-01,6.32
87,2007-04-01,6.3
88,2007-05-01,6.39
89,2007-06-01,6.33
90,2007-07-01,6.38
91,2007-08-01,6.51
92,2007-09-01,6.66
93,2007-10-01,6.71
94,2007-11-01,6.75
95,2007-12-01,6.99
96,2008-01-01,7.21
97,2008-02-01,6.95
98,2008-03-01,6.89
99,2008-04-01,6.99
100,2008-05-01,6.95
101,2008-06-01,6.93
102,2008-07-01,7.12
103,2008-08-01,7.35
104,2008-09-01,7.45
105,2008-10-01,7.77
106,2008-11-01,7.62
107,2008-12-01,7.01
108,2009-01-01,5.84
109,2009-02-01,5.73
110,2009-03-01,5.62
111,2009-04-01,5.5
