,0
200001,38.995
200002,39.161
200003,39.327
200004,39.368
200005,39.327
200006,39.203
200007,39.203
200008,39.285
200009,39.368
200010,39.410
200011,39.285
200012,39.037
200101,38.995
200102,39.120
200103,39.368
200104,39.617
200105,39.907
200106,40.239
200107,40.736
200108,41.523
200109,42.186
200110,42.393
200111,42.559
200112,42.891
200201,44.010
200202,45.129
200203,46.165
200204,46.620
200205,46.910
200206,47.118
200207,47.574
200208,48.402
200209,49.563
200210,49.811
200211,49.853
200212,49.936
200301,49.894
200302,50.143
200303,50.516
200304,50.972
200305,51.800
200306,52.173
200307,52.289
200308,52.462
200309,52.904
200310,53.432
200311,53.241
200312,52.801
200401,52.586
200402,52.693
200403,52.800
200404,52.888
200405,52.879
200406,52.743
200407,52.603
200408,52.394
200409,52.283
200410,52.157
200411,51.926
200412,51.710
200501,51.567
200502,51.732
200503,51.930
200504,52.229
200505,52.512
200506,52.940
200507,53.379
200508,53.573
200509,53.702
200510,53.685
200511,53.682
200512,53.785
200601,53.964
200602,54.208
200603,54.556
200604,55.038
200605,55.600
200606,55.866
200607,55.986
200608,56.121
200609,56.392
200610,57.151
200611,58.925
200612,60.024
200701,60.548
200702,60.768
200703,60.880
200704,60.959
200705,60.979
200706,61.062
200707,61.221
200708,61.336
200709,61.498
200710,61.656
200711,61.823
200712,61.910
200801,62.080
200802,62.271
200803,62.746
200804,63.294
200805,63.679
200806,64.064
200807,64.314
200808,64.442
200809,64.591
200810,64.557
200811,64.297
200812,63.833
200901,63.479
200902,63.320
200903,63.209
200904,63.247
200905,63.315
200906,63.438
200907,63.611
200908,63.812
200909,64.268
200910,64.512
200911,64.676
200912,64.768
201001,64.851
201002,65.040
201003,65.201
201004,65.327
201005,65.358
201006,65.365
201007,65.303
201008,65.271
201009,65.333
201010,65.469
201011,65.721
201012,65.991
201101,66.300
201102,66.830
201103,67.482
201104,68.037
201105,68.511
201106,68.848
201107,69.129
201108,69.470
201109,69.848
201110,70.126
201111,70.403
201112,70.521
201201,70.631
201202,70.749
201203,70.856
201204,70.932
201205,70.967
201206,70.941
201207,70.861
201208,70.790
201209,70.683
201210,70.603
201211,70.550
201212,70.501
201301,70.462
201302,70.421
201303,70.389
201304,70.391
201305,70.381
201306,70.353
201307,70.351
201308,70.323
201309,70.360
201310,70.503
201311,70.626
201312,70.762
201401,70.842
201402,70.957
201403,71.157
201404,71.304
201405,71.351
201406,71.401
201407,71.466
201408,71.562
201409,71.758
201410,71.970
201411,72.116
201412,72.249
201501,72.345
201502,72.509
201503,72.809
201504,73.169
201505,73.441
201506,73.778
201507,74.092
201508,74.381
201509,74.731
201510,74.984
201511,75.304
201512,75.441
201601,75.504
201602,75.558
201603,75.584
201604,75.615
201605,75.665
201606,75.734
201607,75.832
201608,75.927
201609,76.031
201610,76.215
201611,76.407
201612,76.463
201701,76.481
201702,76.489
201703,76.509
201704,76.538
201705,76.578
201706,76.711
201707,76.891
201708,77.074
201709,77.139
201710,77.226
201711,77.332
201712,77.411
201801,77.556
201802,77.723
201803,77.917
201804,78.049
201805,78.127
201806,78.203
201807,78.293
201808,78.460
201809,79.232
201810,79.677
201811,79.799
201812,79.861
201901,79.877
201902,79.824
201903,79.740
201904,79.630
201905,79.577
201906,79.508
201907,79.502
201908,79.546
201909,79.589
201910,79.664
201911,79.776
201912,80.054
202001,80.337
202002,80.634
202003,81.084
202004,81.270
202005,81.382
202006,81.776
202007,82.495
202008,83.137
202009,83.798
202010,84.359
202011,85.568
202012,86.735
202101,87.767
202102,88.962
202103,90.135
202104,91.091
202105,91.964
202106,93.169
202107,94.256
202108,95.666
202109,97.123
202110,98.140
