,datetime,price2
0,2000-01-01,37.418
1,2000-02-01,38.501
2,2000-03-01,39.368
3,2000-04-01,39.874
4,2000-05-01,39.91
5,2000-06-01,39.838
6,2000-07-01,39.91
7,2000-08-01,40.488
8,2000-09-01,41.246
9,2000-10-01,41.68
10,2000-11-01,41.535
11,2000-12-01,41.066
12,2001-01-01,41.102
13,2001-02-01,42.077
14,2001-03-01,43.088
15,2001-04-01,43.63
16,2001-05-01,44.064
17,2001-06-01,44.461
18,2001-07-01,45.147
19,2001-08-01,46.267
20,2001-09-01,47.314
21,2001-10-01,47.675
22,2001-11-01,47.675
23,2001-12-01,47.82
24,2002-01-01,48.831
25,2002-02-01,50.204
26,2002-03-01,51.323
27,2002-04-01,51.973
28,2002-05-01,52.154
29,2002-06-01,52.154
30,2002-07-01,52.334
31,2002-08-01,52.876
32,2002-09-01,53.526
33,2002-10-01,53.454
34,2002-11-01,52.948
35,2002-12-01,52.66
36,2003-01-01,52.623
37,2003-02-01,53.021
38,2003-03-01,53.418
39,2003-04-01,53.454
40,2003-05-01,53.346
41,2003-06-01,53.021
42,2003-07-01,52.737
43,2003-08-01,52.669
44,2003-09-01,52.85
45,2003-10-01,52.885
46,2003-11-01,52.525
47,2003-12-01,51.906
48,2004-01-01,51.66
49,2004-02-01,51.773
50,2004-03-01,51.959
51,2004-04-01,51.994
52,2004-05-01,51.869
53,2004-06-01,51.435
54,2004-07-01,51.04
55,2004-08-01,50.554
56,2004-09-01,50.314
57,2004-10-01,50.09
58,2004-11-01,49.714
59,2004-12-01,49.32
60,2005-01-01,49.086
61,2005-02-01,49.185
62,2005-03-01,49.404
63,2005-04-01,49.582
64,2005-05-01,49.638
65,2005-06-01,49.721
66,2005-07-01,49.775
67,2005-08-01,49.874
68,2005-09-01,50.277
69,2005-10-01,50.619
70,2005-11-01,50.738
71,2005-12-01,50.818
72,2006-01-01,51.002
73,2006-02-01,51.222
74,2006-03-01,51.606
75,2006-04-01,51.897
76,2006-05-01,52.082
77,2006-06-01,52.141
78,2006-07-01,52.171
79,2006-08-01,52.273
80,2006-09-01,52.714
81,2006-10-01,53.264
82,2006-11-01,53.804
83,2006-12-01,54.11
84,2007-01-01,54.343
85,2007-02-01,54.505
86,2007-03-01,54.727
87,2007-04-01,54.921
88,2007-05-01,54.954
89,2007-06-01,54.962
90,2007-07-01,55.013
91,2007-08-01,55.081
92,2007-09-01,55.247
93,2007-10-01,55.376
94,2007-11-01,55.454
95,2007-12-01,55.491
96,2008-01-01,55.577
97,2008-02-01,55.732
98,2008-03-01,56.091
99,2008-04-01,56.415
100,2008-05-01,56.576
101,2008-06-01,56.758
102,2008-07-01,56.882
103,2008-08-01,56.973
