,datetime,가계예금총금액
0,2000-01-01,194322.4
1,2000-02-01,205468.8
2,2000-03-01,208458.2
3,2000-04-01,212110.6
4,2000-05-01,215776.1
5,2000-06-01,221333.7
6,2000-07-01,219994.5
7,2000-08-01,223967.2
8,2000-09-01,230937.2
9,2000-10-01,235781.9
10,2000-11-01,237635.6
11,2000-12-01,241869.7
12,2001-01-01,242125.2
13,2001-02-01,242747.3
14,2001-03-01,243281.1
15,2001-04-01,248638.4
16,2001-05-01,248943.3
17,2001-06-01,252469.9
18,2001-07-01,256060.1
19,2001-08-01,256488.7
20,2001-09-01,263322.1
21,2001-10-01,262516.3
22,2001-11-01,266478.9
23,2001-12-01,271097.2
24,2002-01-01,270174.9
25,2002-02-01,279022.8
26,2002-03-01,278625.3
27,2002-04-01,282125.6
28,2002-05-01,282175.8
29,2002-06-01,284037.2
30,2002-07-01,283798.0
31,2002-08-01,288606.6
32,2002-09-01,293824.4
33,2002-10-01,293058.1
34,2002-11-01,298157.6
35,2002-12-01,302176.0
36,2003-01-01,302811.0
37,2003-02-01,306094.1
38,2003-03-01,306869.3
39,2003-04-01,310510.6
40,2003-05-01,308575.4
41,2003-06-01,310493.1
42,2003-07-01,308302.6
43,2003-08-01,308964.6
44,2003-09-01,308016.5
45,2003-10-01,308273.2
46,2003-11-01,308552.4
47,2003-12-01,311882.0
48,2004-01-01,315728.8
49,2004-02-01,317848.9
50,2004-03-01,321757.1
51,2004-04-01,318070.2
52,2004-05-01,314897.8
53,2004-06-01,314842.0
54,2004-07-01,313441.2
55,2004-08-01,309673.2
56,2004-09-01,313388.3
57,2004-10-01,308497.3
58,2004-11-01,308371.3
59,2004-12-01,312006.8
60,2005-01-01,311713.2
61,2005-02-01,314240.7
62,2005-03-01,312299.7
63,2005-04-01,314373.9
64,2005-05-01,312759.4
65,2005-06-01,317748.9
66,2005-07-01,315947.4
67,2005-08-01,313035.6
68,2005-09-01,314784.9
69,2005-10-01,312642.3
70,2005-11-01,311647.9
71,2005-12-01,317981.5
72,2006-01-01,315499.0
73,2006-02-01,315331.0
74,2006-03-01,313239.6
75,2006-04-01,314920.4
76,2006-05-01,313502.6
77,2006-06-01,312559.3
78,2006-07-01,311594.6
79,2006-08-01,308949.5
80,2006-09-01,311915.2
81,2006-10-01,309036.3
82,2006-11-01,309461.3
83,2006-12-01,318312.6
84,2007-01-01,310674.6
85,2007-02-01,313000.8
86,2007-03-01,311779.0
87,2007-04-01,312567.0
88,2007-05-01,307960.9
89,2007-06-01,306495.1
90,2007-07-01,301414.4
91,2007-08-01,298199.0
92,2007-09-01,300107.9
93,2007-10-01,293657.2
94,2007-11-01,291673.7
95,2007-12-01,295649.8
96,2008-01-01,298924.0
97,2008-02-01,298732.8
98,2008-03-01,298956.4
99,2008-04-01,298415.4
100,2008-05-01,297172.0
101,2008-06-01,295629.0
102,2008-07-01,292671.9
103,2008-08-01,292630.2
104,2008-09-01,300887.6
105,2008-10-01,311768.5
106,2008-11-01,313925.7
107,2008-12-01,326615.1
108,2009-01-01,331483.2
109,2009-02-01,333417.5
110,2009-03-01,327353.4
111,2009-04-01,330919.1
