변환,원자료
"2000/01","20,792"
"2000/02","20,844"
"2000/03","20,954"
"2000/04","20,990"
"2000/05","21,118"
"2000/06","21,171"
"2000/07","21,315"
"2000/08","21,376"
"2000/09","21,358"
"2000/10","21,447"
"2000/11","21,376"
"2000/12","21,308"
"2001/01","21,105"
"2001/02","21,087"
"2001/03","21,216"
"2001/04","21,571"
"2001/05","21,658"
"2001/06","21,668"
"2001/07","21,707"
"2001/08","21,782"
"2001/09","21,841"
"2001/10","21,853"
"2001/11","21,919"
"2001/12","21,923"
"2002/01","21,988"
"2002/02","22,107"
"2002/03","22,089"
"2002/04","22,237"
"2002/05","22,201"
"2002/06","22,257"
"2002/07","22,280"
"2002/08","22,288"
"2002/09","22,365"
"2002/10","22,326"
"2002/11","22,262"
"2002/12","22,371"
"2003/01","22,236"
"2003/02","22,211"
"2003/03","22,173"
"2003/04","22,113"
"2003/05","22,135"
"2003/06","22,146"
"2003/07","22,223"
"2003/08","22,206"
"2003/09","22,203"
"2003/10","22,265"
"2003/11","22,311"
"2003/12","22,445"
"2004/01","22,637"
"2004/02","22,765"
"2004/03","22,753"
"2004/04","22,677"
"2004/05","22,554"
"2004/06","22,634"
"2004/07","22,577"
"2004/08","22,517"
"2004/09","22,759"
"2004/10","22,756"
"2004/11","22,709"
"2004/12","22,869"
"2005/01","22,766"
"2005/02","22,797"
"2005/03","22,864"
"2005/04","22,794"
"2005/05","22,811"
"2005/06","22,804"
"2005/07","22,778"
"2005/08","22,763"
"2005/09","22,810"
"2005/10","22,872"
"2005/11","22,951"
"2005/12","22,966"
"2006/01","23,090"
"2006/02","23,093"
"2006/03","23,130"
"2006/04","23,122"
"2006/05","23,152"
"2006/06","23,155"
"2006/07","23,153"
"2006/08","23,186"
"2006/09","23,201"
"2006/10","23,258"
"2006/11","23,329"
"2006/12","23,386"
"2007/01","23,475"
"2007/02","23,488"
"2007/03","23,517"
"2007/04","23,501"
"2007/05","23,508"
"2007/06","23,542"
"2007/07","23,543"
"2007/08","23,541"
"2007/09","23,565"
"2007/10","23,628"
"2007/11","23,689"
"2007/12","23,727"
"2008/01","23,785"
"2008/02","23,778"
"2008/03","23,775"
"2008/04","23,781"
"2008/05","23,781"
"2008/06","23,789"
"2008/07","23,799"
"2008/08","23,769"
"2008/09","23,736"
"2008/10","23,766"
"2008/11","23,797"
"2008/12","23,736"
"2009/01","23,702"
"2009/02","23,638"
"2009/03","23,575"
"2009/04","23,584"
"2009/05","23,547"
"2009/06","23,766"
"2009/07","23,691"
"2009/08","23,724"
"2009/09","23,785"
"2009/10","23,769"
"2009/11","23,769"
"2009/12","23,697"
"2010/01","23,683"
"2010/02","23,750"
"2010/03","23,849"
"2010/04","23,994"
"2010/05","24,133"
"2010/06","24,091"
"2010/07","24,174"
"2010/08","24,126"
"2010/09","24,070"
"2010/10","24,135"
"2010/11","24,136"
"2010/12","24,226"
"2011/01","24,086"
"2011/02","24,295"
"2011/03","24,416"
"2011/04","24,465"
"2011/05","24,591"
"2011/06","24,669"
"2011/07","24,599"
"2011/08","24,676"
"2011/09","24,402"
"2011/10","24,705"
"2011/11","24,674"
"2011/12","24,714"
"2012/01","24,682"
"2012/02","24,783"
"2012/03","24,872"
"2012/04","24,952"
"2012/05","25,076"
"2012/06","25,037"
"2012/07","25,032"
"2012/08","24,996"
"2012/09","25,049"
"2012/10","25,057"
"2012/11","24,976"
"2012/12","24,926"
"2013/01","24,949"
"2013/02","24,909"
"2013/03","25,037"
"2013/04","25,224"
"2013/05","25,266"
"2013/06","25,323"
"2013/07","25,336"
"2013/08","25,375"
"2013/09","25,490"
"2013/10","25,539"
"2013/11","25,587"
"2013/12","25,534"
"2014/01","25,727"
"2014/02","25,816"
"2014/03","25,764"
"2014/04","25,898"
"2014/05","25,775"
"2014/06","25,823"
"2014/07","25,929"
"2014/08","26,027"
"2014/09","25,995"
"2014/10","25,992"
"2014/11","26,050"
"2014/12","25,962"
"2015/01","26,073"
"2015/02","26,165"
"2015/03","26,058"
"2015/04","26,079"
"2015/05","26,108"
"2015/06","26,095"
"2015/07","26,189"
"2015/08","26,204"
"2015/09","26,264"
"2015/10","26,270"
"2015/11","26,255"
"2015/12","26,380"
"2016/01","26,334"
"2016/02","26,296"
"2016/03","26,256"
"2016/04","26,259"
"2016/05","26,306"
"2016/06","26,382"
"2016/07","26,421"
"2016/08","26,522"
"2016/09","26,472"
"2016/10","26,501"
"2016/11","26,539"
"2016/12","26,626"
"2017/01","26,567"
"2017/02","26,652"
"2017/03","26,703"
"2017/04","26,691"
"2017/05","26,698"
"2017/06","26,692"
"2017/07","26,739"
"2017/08","26,723"
"2017/09","26,787"
"2017/10","26,784"
"2017/11","26,784"
"2017/12","26,880"
"2018/01","26,905"
"2018/02","26,740"
"2018/03","26,796"
"2018/04","26,827"
"2018/05","26,783"
"2018/06","26,804"
"2018/07","26,762"
"2018/08","26,722"
"2018/09","26,835"
"2018/10","26,851"
"2018/11","26,938"
"2018/12","26,908"
"2019/01","26,919"
"2019/02","26,998"
"2019/03","27,033"
"2019/04","27,014"
"2019/05","27,050"
"2019/06","27,087"
"2019/07","27,069"
"2019/08","27,164"
"2019/09","27,186"
"2019/10","27,268"
"2019/11","27,257"
"2019/12","27,427"
"2020/01","27,496"
"2020/02","27,494"
"2020/03","26,822"
"2020/04","26,547"
"2020/05","26,673"
"2020/06","26,743"
"2020/07","26,809"
"2020/08","26,889"
"2020/09","26,800"
"2020/10","26,850"
"2020/11","26,979"
"2020/12","26,788"
"2021/01","26,481"
"2021/02","27,001"
"2021/03","27,132"
"2021/04","27,209"
"2021/05","27,293"
"2021/06","27,320"
"2021/07","27,351"
"2021/08","27,398"
"2021/09","27,469"
"2021/10","27,498"
"2021/11","27,523"
"2021/12","27,572"
"2022/01","27,640"
"2022/02","28,057"
"2022/03","27,963"
"2022/04","28,082"
"2022/05","28,222"
"2022/06","28,153"
"2022/07","28,172"
"2022/08","28,194"
"2022/09","28,172"
