변환,원자료
"2000/01","10.14"
"2000/02","10.04"
"2000/03","10.05"
"2000/04","9.96"
"2000/05","9.96"
"2000/06","9.87"
"2000/07","9.92"
"2000/08","9.77"
"2000/09","9.76"
"2000/10","9.84"
"2000/11","9.71"
"2000/12","9.48"
"2001/01","9.21"
"2001/02","9.13"
"2001/03","8.84"
"2001/04","8.70"
"2001/05","8.54"
"2001/06","8.57"
"2001/07","8.39"
"2001/08","8.00"
"2001/09","7.55"
"2001/10","7.35"
"2001/11","7.17"
"2001/12","6.93"
"2002/01","6.85"
"2002/02","6.65"
"2002/03","6.69"
"2002/04","6.86"
"2002/05","6.99"
"2002/06","6.98"
"2002/07","6.98"
"2002/08","6.89"
"2002/09","6.82"
"2002/10","7.05"
"2002/11","7.13"
"2002/12","7.12"
"2003/01","7.06"
"2003/02","6.90"
"2003/03","6.96"
"2003/04","6.84"
"2003/05","6.64"
"2003/06","6.47"
"2003/07","6.41"
"2003/08","6.15"
"2003/09","6.04"
"2003/10","6.01"
"2003/11","6.21"
"2003/12","6.31"
"2004/01","6.34"
"2004/02","6.08"
"2004/03","6.11"
"2004/04","6.07"
"2004/05","6.02"
"2004/06","6.00"
"2004/07","5.92"
"2004/08","5.69"
"2004/09","5.66"
"2004/10","5.62"
"2004/11","5.57"
"2004/12","5.48"
"2005/01","5.51"
"2005/02","5.52"
"2005/03","5.60"
"2005/04","5.43"
"2005/05","5.34"
"2005/06","5.28"
"2005/07","5.34"
"2005/08","5.38"
"2005/09","5.50"
"2005/10","5.70"
"2005/11","5.64"
"2005/12","5.63"
"2006/01","5.69"
"2006/02","5.71"
"2006/03","5.68"
"2006/04","5.62"
"2006/05","5.64"
"2006/06","5.72"
"2006/07","5.95"
"2006/08","6.03"
"2006/09","5.90"
"2006/10","5.84"
"2006/11","5.82"
"2006/12","5.97"
"2007/01","6.20"
"2007/02","6.25"
"2007/03","6.32"
"2007/04","6.30"
"2007/05","6.39"
"2007/06","6.33"
"2007/07","6.38"
"2007/08","6.51"
"2007/09","6.66"
"2007/10","6.71"
"2007/11","6.75"
"2007/12","6.99"
"2008/01","7.21"
"2008/02","6.95"
"2008/03","6.89"
"2008/04","6.99"
"2008/05","6.95"
"2008/06","6.93"
"2008/07","7.12"
"2008/08","7.35"
"2008/09","7.45"
"2008/10","7.77"
"2008/11","7.62"
"2008/12","7.01"
"2009/01","5.84"
"2009/02","5.73"
"2009/03","5.62"
"2009/04","5.50"
"2009/05","5.48"
"2009/06","5.47"
"2009/07","5.58"
"2009/08","5.63"
"2009/09","5.96"
"2009/10","6.05"
"2009/11","6.00"
"2009/12","5.95"
"2010/01","6.02"
"2010/02","5.92"
"2010/03","5.80"
"2010/04","5.46"
"2010/05","5.16"
"2010/06","5.15"
"2010/07","5.13"
"2010/08","5.26"
"2010/09","5.22"
"2010/10","5.21"
"2010/11","5.15"
"2010/12","5.08"
"2011/01","5.30"
"2011/02","5.26"
"2011/03","5.41"
"2011/04","5.42"
"2011/05","5.49"
"2011/06","5.47"
"2011/07","5.46"
"2011/08","5.58"
"2011/09","5.66"
"2011/10","5.56"
"2011/11","5.60"
"2011/12","5.37"
"2012/01","5.80"
"2012/02","5.67"
"2012/03","5.62"
"2012/04","5.54"
"2012/05","5.51"
"2012/06","5.38"
"2012/07","5.20"
"2012/08","4.90"
"2012/09","4.86"
"2012/10","4.84"
"2012/11","4.74"
"2012/12","4.54"
"2013/01","4.84"
"2013/02","4.61"
"2013/03","4.55"
"2013/04","4.42"
"2013/05","4.30"
"2013/06","4.11"
"2013/07","4.31"
"2013/08","4.33"
"2013/09","4.26"
"2013/10","4.21"
"2013/11","4.19"
"2013/12","4.10"
"2014/01","4.15"
"2014/02","4.05"
"2014/03","4.09"
"2014/04","4.04"
"2014/05","4.02"
"2014/06","3.94"
"2014/07","3.93"
"2014/08","3.76"
"2014/09","3.76"
"2014/10","3.64"
"2014/11","3.55"
"2014/12","3.55"
"2015/01","3.59"
"2015/02","3.48"
"2015/03","3.21"
"2015/04","2.96"
"2015/05","3.27"
"2015/06","3.22"
"2015/07","3.17"
"2015/08","3.13"
"2015/09","3.11"
"2015/10","3.06"
"2015/11","3.16"
"2015/12","3.23"
"2016/01","3.28"
"2016/02","3.21"
"2016/03","3.24"
"2016/04","3.17"
"2016/05","3.16"
"2016/06","3.06"
"2016/07","2.96"
"2016/08","2.95"
"2016/09","3.03"
"2016/10","3.08"
"2016/11","3.20"
"2016/12","3.29"
"2017/01","3.39"
