,datetime,주택매매가격지수
0,2000-01-01,38.995
1,2000-02-01,39.161
2,2000-03-01,39.327
3,2000-04-01,39.368
4,2000-05-01,39.327
5,2000-06-01,39.203
6,2000-07-01,39.203
7,2000-08-01,39.285
8,2000-09-01,39.368
9,2000-10-01,39.41
10,2000-11-01,39.285
11,2000-12-01,39.037
12,2001-01-01,38.995
13,2001-02-01,39.12
14,2001-03-01,39.368
15,2001-04-01,39.617
16,2001-05-01,39.907
17,2001-06-01,40.239
18,2001-07-01,40.736
19,2001-08-01,41.523
20,2001-09-01,42.186
21,2001-10-01,42.393
22,2001-11-01,42.559
23,2001-12-01,42.891
24,2002-01-01,44.01
25,2002-02-01,45.129
26,2002-03-01,46.165
27,2002-04-01,46.62
28,2002-05-01,46.91
29,2002-06-01,47.118
30,2002-07-01,47.574
31,2002-08-01,48.402
32,2002-09-01,49.563
33,2002-10-01,49.811
34,2002-11-01,49.853
35,2002-12-01,49.936
36,2003-01-01,49.894
37,2003-02-01,50.143
38,2003-03-01,50.516
39,2003-04-01,50.972
40,2003-05-01,51.8
41,2003-06-01,52.173
42,2003-07-01,52.289
43,2003-08-01,52.462
44,2003-09-01,52.904
45,2003-10-01,53.432
46,2003-11-01,53.241
47,2003-12-01,52.801
48,2004-01-01,52.586
49,2004-02-01,52.693
50,2004-03-01,52.8
51,2004-04-01,52.888
52,2004-05-01,52.879
53,2004-06-01,52.743
54,2004-07-01,52.603
55,2004-08-01,52.394
56,2004-09-01,52.283
57,2004-10-01,52.157
58,2004-11-01,51.926
59,2004-12-01,51.71
60,2005-01-01,51.567
61,2005-02-01,51.732
62,2005-03-01,51.93
63,2005-04-01,52.229
64,2005-05-01,52.512
65,2005-06-01,52.94
66,2005-07-01,53.379
67,2005-08-01,53.573
68,2005-09-01,53.702
69,2005-10-01,53.685
70,2005-11-01,53.682
71,2005-12-01,53.785
72,2006-01-01,53.964
73,2006-02-01,54.208
74,2006-03-01,54.556
75,2006-04-01,55.038
76,2006-05-01,55.6
77,2006-06-01,55.866
78,2006-07-01,55.986
79,2006-08-01,56.121
80,2006-09-01,56.392
81,2006-10-01,57.151
82,2006-11-01,58.925
83,2006-12-01,60.024
84,2007-01-01,60.548
85,2007-02-01,60.768
86,2007-03-01,60.88
87,2007-04-01,60.959
88,2007-05-01,60.979
89,2007-06-01,61.062
90,2007-07-01,61.221
91,2007-08-01,61.336
92,2007-09-01,61.498
93,2007-10-01,61.656
94,2007-11-01,61.823
95,2007-12-01,61.91
96,2008-01-01,62.08
97,2008-02-01,62.271
98,2008-03-01,62.746
99,2008-04-01,63.294
100,2008-05-01,63.679
101,2008-06-01,64.064
102,2008-07-01,64.314
103,2008-08-01,64.442
104,2008-09-01,64.591
105,2008-10-01,64.557
106,2008-11-01,64.297
107,2008-12-01,63.833
108,2009-01-01,63.479
109,2009-02-01,63.32
110,2009-03-01,63.209
111,2009-04-01,63.247
112,2009-05-01,63.315
113,2009-06-01,63.438
114,2009-07-01,63.611
115,2009-08-01,63.812
116,2009-09-01,64.268
117,2009-10-01,64.512
118,2009-11-01,64.676
119,2009-12-01,64.768
120,2010-01-01,64.851
121,2010-02-01,65.04
122,2010-03-01,65.201
123,2010-04-01,65.327
124,2010-05-01,65.358
125,2010-06-01,65.365
126,2010-07-01,65.303
127,2010-08-01,65.271
128,2010-09-01,65.333
129,2010-10-01,65.469
130,2010-11-01,65.721
131,2010-12-01,65.991
132,2011-01-01,66.3
133,2011-02-01,66.83
134,2011-03-01,67.482
135,2011-04-01,68.037
136,2011-05-01,68.511
137,2011-06-01,68.848
138,2011-07-01,69.129
139,2011-08-01,69.47
140,2011-09-01,69.848
141,2011-10-01,70.126
142,2011-11-01,70.403
143,2011-12-01,70.521
144,2012-01-01,70.631
145,2012-02-01,70.749
146,2012-03-01,70.856
147,2012-04-01,70.932
148,2012-05-01,70.967
149,2012-06-01,70.941
150,2012-07-01,70.861
151,2012-08-01,70.79
152,2012-09-01,70.683
153,2012-10-01,70.603
154,2012-11-01,70.55
155,2012-12-01,70.501
156,2013-01-01,70.462
157,2013-02-01,70.421
158,2013-03-01,70.389
159,2013-04-01,70.391
160,2013-05-01,70.381
161,2013-06-01,70.353
162,2013-07-01,70.351
163,2013-08-01,70.323
164,2013-09-01,70.36
165,2013-10-01,70.503
166,2013-11-01,70.626
167,2013-12-01,70.762
168,2014-01-01,70.842
169,2014-02-01,70.957
170,2014-03-01,71.157
171,2014-04-01,71.304
172,2014-05-01,71.351
