,datetime,취업자수
0,2000-01-01,20792
1,2000-02-01,20844
2,2000-03-01,20954
3,2000-04-01,20990
4,2000-05-01,21118
5,2000-06-01,21171
6,2000-07-01,21315
7,2000-08-01,21376
8,2000-09-01,21358
9,2000-10-01,21447
10,2000-11-01,21376
11,2000-12-01,21308
12,2001-01-01,21105
13,2001-02-01,21087
14,2001-03-01,21216
15,2001-04-01,21571
16,2001-05-01,21658
17,2001-06-01,21668
18,2001-07-01,21707
19,2001-08-01,21782
20,2001-09-01,21841
21,2001-10-01,21853
22,2001-11-01,21919
23,2001-12-01,21923
24,2002-01-01,21988
25,2002-02-01,22107
26,2002-03-01,22089
27,2002-04-01,22237
28,2002-05-01,22201
29,2002-06-01,22257
30,2002-07-01,22280
31,2002-08-01,22288
32,2002-09-01,22365
33,2002-10-01,22326
34,2002-11-01,22262
35,2002-12-01,22371
36,2003-01-01,22236
37,2003-02-01,22211
38,2003-03-01,22173
39,2003-04-01,22113
40,2003-05-01,22135
41,2003-06-01,22146
42,2003-07-01,22223
43,2003-08-01,22206
44,2003-09-01,22203
45,2003-10-01,22265
46,2003-11-01,22311
47,2003-12-01,22445
48,2004-01-01,22637
49,2004-02-01,22765
50,2004-03-01,22753
51,2004-04-01,22677
52,2004-05-01,22554
53,2004-06-01,22634
54,2004-07-01,22577
55,2004-08-01,22517
56,2004-09-01,22759
57,2004-10-01,22756
58,2004-11-01,22709
59,2004-12-01,22869
60,2005-01-01,22766
61,2005-02-01,22797
62,2005-03-01,22864
63,2005-04-01,22794
64,2005-05-01,22811
65,2005-06-01,22804
66,2005-07-01,22778
67,2005-08-01,22763
68,2005-09-01,22810
69,2005-10-01,22872
70,2005-11-01,22951
71,2005-12-01,22966
72,2006-01-01,23090
73,2006-02-01,23093
74,2006-03-01,23130
75,2006-04-01,23122
76,2006-05-01,23152
77,2006-06-01,23155
78,2006-07-01,23153
79,2006-08-01,23186
80,2006-09-01,23201
81,2006-10-01,23258
82,2006-11-01,23329
83,2006-12-01,23386
84,2007-01-01,23475
85,2007-02-01,23488
86,2007-03-01,23517
87,2007-04-01,23501
88,2007-05-01,23508
89,2007-06-01,23542
90,2007-07-01,23543
91,2007-08-01,23541
92,2007-09-01,23565
93,2007-10-01,23628
94,2007-11-01,23689
95,2007-12-01,23727
96,2008-01-01,23785
97,2008-02-01,23778
98,2008-03-01,23775
99,2008-04-01,23781
100,2008-05-01,23781
101,2008-06-01,23789
102,2008-07-01,23799
103,2008-08-01,23769
104,2008-09-01,23736
105,2008-10-01,23766
106,2008-11-01,23797
107,2008-12-01,23736
108,2009-01-01,23702
109,2009-02-01,23638
110,2009-03-01,23575
111,2009-04-01,23584
112,2009-05-01,23547
113,2009-06-01,23766
114,2009-07-01,23691
115,2009-08-01,23724
116,2009-09-01,23785
117,2009-10-01,23769
118,2009-11-01,23769
119,2009-12-01,23697
120,2010-01-01,23683
121,2010-02-01,23750
122,2010-03-01,23849
123,2010-04-01,23994
124,2010-05-01,24133
125,2010-06-01,24091
126,2010-07-01,24174
127,2010-08-01,24126
128,2010-09-01,24070
129,2010-10-01,24135
130,2010-11-01,24136
131,2010-12-01,24226
132,2011-01-01,24086
133,2011-02-01,24295
134,2011-03-01,24416
135,2011-04-01,24465
136,2011-05-01,24591
137,2011-06-01,24669
138,2011-07-01,24599
139,2011-08-01,24676
140,2011-09-01,24402
141,2011-10-01,24705
142,2011-11-01,24674
143,2011-12-01,24714
144,2012-01-01,24682
145,2012-02-01,24783
146,2012-03-01,24872
147,2012-04-01,24952
148,2012-05-01,25076
149,2012-06-01,25037
150,2012-07-01,25032
151,2012-08-01,24996
152,2012-09-01,25049
153,2012-10-01,25057
154,2012-11-01,24976
155,2012-12-01,24926
156,2013-01-01,24949
157,2013-02-01,24909
158,2013-03-01,25037
159,2013-04-01,25224
160,2013-05-01,25266
161,2013-06-01,25323
162,2013-07-01,25336
163,2013-08-01,25375
164,2013-09-01,25490
165,2013-10-01,25539
166,2013-11-01,25587
167,2013-12-01,25534
168,2014-01-01,25727
169,2014-02-01,25816
170,2014-03-01,25764
171,2014-04-01,25898
172,2014-05-01,25775
173,2014-06-01,25823
